combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,ood_flags,vbar,base_pass,qr_star,above_upper
DC-069,TPE-taipei-idx4344-0-0,taipei,TPE,A,residential,3.54,50.0,63.7,17.994,1.0,qp>60,1.156,True,8.0,False
DC-068,TPE-taipei-idx15608-0-1,taipei,TPE,A,commercial,2.48,50.0,74.4,30.0,1.0,qp>60,1.075,True,0.0,False
DC-070,TPE-taipei-idx4344-0-0,taipei,TPE,A,residential,3.54,50.0,85.0,24.011,1.0,qp>60,0.982,True,6.0,False
DC-071,TPE-taipei-idx4344-0-0,taipei,TPE,A,residential,3.54,50.0,106.2,30.0,1.0,qp>60,0.887,True,0.0,False
DC-105,TAO-taoyuan-idx8762-0-0,taoyuan,TAO,C,residential,0.43,50.0,7.7,17.907,1.0,W<W_min,0.0,True,0.0,False
DC-108,TAO-taoyuan-idx2361-0-3,taoyuan,TAO,C,residential,0.51,50.0,9.2,18.039,1.0,W<W_min,0.0,True,0.0,False
DC-106,TAO-taoyuan-idx8762-0-0,taoyuan,TAO,C,residential,0.43,50.0,10.3,23.953,1.0,W<W_min,0.0,True,0.0,False
DC-109,TAO-taoyuan-idx2361-0-3,taoyuan,TAO,C,residential,0.51,50.0,12.2,23.922,1.0,W<W_min,0.0,True,0.0,False
DC-107,TAO-taoyuan-idx8762-0-0,taoyuan,TAO,C,residential,0.43,50.0,12.9,30.0,1.0,W<W_min,0.0,True,0.0,False
DC-110,TAO-taoyuan-idx2361-0-3,taoyuan,TAO,C,residential,0.51,50.0,15.3,30.0,1.0,W<W_min,0.0,True,0.0,False
DC-111,TAO-taoyuan-idx10181-0-0,taoyuan,TAO,A,residential,1.8,50.0,32.4,18.0,1.0,,1.136,True,2.0,False
DC-112,TAO-taoyuan-idx10181-0-0,taoyuan,TAO,A,residential,1.8,50.0,43.2,24.0,1.0,,1.032,True,0.0,False
DC-114,TAO-taoyuan-idx3410-0-9,taoyuan,TAO,A,residential,2.4,50.0,43.2,18.0,1.0,,1.199,True,10.0,False
DC-113,TAO-taoyuan-idx10181-0-0,taoyuan,TAO,A,residential,1.8,50.0,54.0,30.0,1.0,,0.924,True,0.0,False
DC-115,TAO-taoyuan-idx3410-0-9,taoyuan,TAO,A,residential,2.4,50.0,57.6,24.0,1.0,,1.151,True,5.0,False
DC-116,TAO-taoyuan-idx3410-0-9,taoyuan,TAO,A,residential,2.4,50.0,72.0,30.0,1.0,qp>60,1.073,True,0.0,False
DC-117,TAO-taoyuan-idx6656-0-0,taoyuan,TAO,A,commercial,5.0,50.0,90.0,18.0,1.0,qp>60,0.0,False,0.0,False
DC-118,TAO-taoyuan-idx6656-0-0,taoyuan,TAO,A,commercial,5.0,50.0,120.0,24.0,1.0,qp>60,0.0,False,0.0,False
DC-119,TAO-taoyuan-idx6656-0-0,taoyuan,TAO,A,commercial,5.0,50.0,150.0,30.0,1.0,qp>60,0.0,False,0.0,False
