W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
2.4,10,8,1.0,0.984689479382596,1.3029556837771399,0.053635706018519184,1.0033333333333334
2.4,10,10,1.0,0.9742247216136657,1.2891085615118263,0.05434722222222279,1.0025
2.4,10,12,0.9666666666666667,0.9682718162616386,1.2812315890998998,0.054530092592593185,1.0058333333333331
2.4,10,15,0.9666666666666667,0.9553131897249458,1.2640845427939762,0.055339120370370885,1.0033333333333332
2.4,10,18,0.9666666666666667,0.9418909892162963,1.2463240885515823,0.05607349537037078,1.0125
2.4,10,20,0.8333333333333334,0.9269365705960658,1.2265361806407258,0.057000289351852224,1.0066666666666666
2.4,20,1,1.0,0.9947783848430901,1.2933807455901232,0.10809751157407364,1.0050000000000001
2.4,20,2,1.0,0.9908731133451655,1.2883032297949701,0.10855208333333284,1.005
2.4,20,3,1.0,0.9879387340422455,1.2844880386443769,0.10879398148148103,1.0045833333333334
2.4,20,4,1.0,0.9820799546476426,1.2768706310115856,0.1095034722222219,1.0054166666666666
2.4,20,5,1.0,0.9768999909907095,1.270135799054224,0.11013859953703645,0.9991666666666668
2.4,20,6,1.0,0.9744044202260809,1.2668911334830701,0.11022627314814765,1.0025000000000002
2.4,20,8,1.0,0.9638961484473616,1.2532285965852994,0.11141087962962927,1.0033333333333332
2.4,20,10,1.0,0.9545348046491436,1.2410572607320636,0.11259780092592554,1.0033333333333332
2.4,20,12,1.0,0.9431457375531961,1.2262495404231266,0.11381163194444423,1.0041666666666669
2.4,20,15,0.7333333333333333,0.9206164222873158,1.196957606641498,0.11666695601851834,0.9958333333333336
2.4,20,18,0.5,0.8974017496425009,1.1667745919404726,0.11956799768518511,1.0004166666666667
2.4,20,20,0.3333333333333333,0.8823672046897197,1.1472271316649827,0.12172280092592573,0.9970833333333332
2.4,30,1,1.0,0.9910046206536556,1.2474784505378724,0.1681741898148152,1.0008333333333335
2.4,30,2,1.0,0.9898207325055031,1.245988169945948,0.16826591435185215,1.0005555555555556
2.4,30,3,1.0,0.9822750796916716,1.2364896882191057,0.16962355324074085,0.9994444444444445
